"","DT","Temp"
"1",2021-08-04,16.5893518518518
"2",2021-08-05,15.2349537037037
"3",2021-08-06,15.8196759259259
"4",2021-08-07,15.3655092592593
"5",2021-08-08,15.1351851851852
"6",2021-08-09,15.5608796296296
"7",2021-08-10,15.2546296296296
"8",2021-08-11,15.3314814814815
"9",2021-08-12,14.8518518518518
"10",2021-08-13,14.7509259259259
"11",2021-08-14,14.7245370370371
"12",2021-08-15,14.4196759259259
"13",2021-08-16,14.2344907407407
"14",2021-08-17,14.4525462962963
"15",2021-08-18,14.8520833333333
"16",2021-08-19,15.0300925925926
"17",2021-08-20,15.0171296296296
"18",2021-08-21,15.0245370370371
"19",2021-08-22,15.1608796296296
"20",2021-08-23,15.1886574074074
"21",2021-08-24,14.9835648148148
"22",2021-08-25,14.8965277777778
"23",2021-08-26,15.5788194444444
"24",2021-08-27,15.4054398148148
"25",2021-08-28,15.5082175925926
"26",2021-08-29,15.3327546296296
"27",2021-08-30,15.5946759259259
"28",2021-08-31,16.0265046296296
"29",2021-09-01,16.0952546296296
"30",2021-09-02,15.584375
"31",2021-09-03,14.7898148148148
"32",2021-09-04,14.9642361111111
"33",2021-09-05,15.1009259259259
"34",2021-09-06,15.4979166666667
"35",2021-09-07,15.5712962962963
"36",2021-09-08,15.9652777777778
"37",2021-09-09,16.215162037037
"38",2021-09-10,15.9708333333333
"39",2021-09-11,15.7535879629629
"40",2021-09-12,15.9258101851852
"41",2021-09-13,15.9128472222222
"42",2021-09-14,15.9631944444444
"43",2021-09-15,15.9652777777778
"44",2021-09-16,15.912037037037
"45",2021-09-17,15.9246527777778
"46",2021-09-18,15.9481481481482
"47",2021-09-19,15.6138888888889
"48",2021-09-20,15.4850694444444
"49",2021-09-21,15.5039351851852
"50",2021-09-22,15.703587962963
"51",2021-09-23,15.8798611111111
"52",2021-09-24,16.2296296296296
"53",2021-09-25,16.4355324074074
"54",2021-09-26,16.3895833333333
"55",2021-09-27,16.0059027777778
"56",2021-09-28,16.091087962963
"57",2021-09-29,15.6579861111111
"58",2021-09-30,15.2965277777778
"59",2021-10-01,15.1391203703704
"60",2021-10-02,15.0932870370371
"61",2021-10-03,14.9797453703704
"62",2021-10-04,14.9824074074074
"63",2021-10-05,15.0305555555556
"64",2021-10-06,14.9995370370371
"65",2021-10-07,15.0318287037037
"66",2021-10-08,15.025
"67",2021-10-09,14.9268518518519
"68",2021-10-10,14.8439814814815
"69",2021-10-11,14.8126157407407
"70",2021-10-12,14.8880787037037
"71",2021-10-13,14.9513888888889
"72",2021-10-14,14.959837962963
"73",2021-10-15,15.1824074074074
"74",2021-10-16,15.1865740740741
"75",2021-10-17,15.0825231481482
"76",2021-10-18,14.805787037037
"77",2021-10-19,14.4549768518518
"78",2021-10-20,14.3608796296296
"79",2021-10-21,14.3907407407407
"80",2021-10-22,14.4405092592593
"81",2021-10-23,14.3085648148148
"82",2021-10-24,14.0232638888889
"83",2021-10-25,13.950462962963
"84",2021-10-26,13.8540509259259
"85",2021-10-27,13.7280092592593
"86",2021-10-28,13.5190972222222
"87",2021-10-29,13.4858796296296
"88",2021-10-30,13.4409722222222
"89",2021-10-31,13.4811342592592
"90",2021-11-01,13.4650462962963
"91",2021-11-02,13.2003472222222
"92",2021-11-03,13.2143518518518
"93",2021-11-04,13.0135416666667
"94",2021-11-05,12.8981481481482
"95",2021-11-06,12.8671296296296
"96",2021-11-07,12.7355324074074
"97",2021-11-08,12.7363425925926
"98",2021-11-09,12.7427083333333
"99",2021-11-10,12.7542824074074
"100",2021-11-11,12.6189814814815
"101",2021-11-12,12.365162037037
"102",2021-11-13,12.5303240740741
"103",2021-11-14,12.4689814814815
"104",2021-11-15,12.2685185185185
"105",2021-11-16,12.0116898148148
"106",2021-11-17,11.940625
"107",2021-11-18,11.6322916666667
"108",2021-11-19,11.6164351851852
"109",2021-11-20,11.5681712962963
"110",2021-11-21,11.3564814814815
"111",2021-11-22,11.2997685185185
"112",2021-11-23,11.3752314814815
"113",2021-11-24,11.3461805555556
"114",2021-11-25,11.1728009259259
"115",2021-11-26,11.1561342592593
"116",2021-11-27,10.921875
"117",2021-11-28,10.5054398148148
"118",2021-11-29,10.5726851851852
"119",2021-11-30,10.5423611111111
"120",2021-12-01,10.521875
"121",2021-12-02,10.0853009259259
"122",2021-12-03,9.96886574074075
"123",2021-12-04,9.79189814814817
"124",2021-12-05,9.73611111111111
"125",2021-12-06,9.66759259259258
"126",2021-12-07,9.59953703703706
"127",2021-12-08,9.29675925925925
"128",2021-12-09,9.15717592592594
"129",2021-12-10,8.95659722222222
"130",2021-12-11,9.04305555555555
"131",2021-12-12,9.00914351851853
"132",2021-12-13,8.59537037037039
"133",2021-12-14,8.62164351851853
"134",2021-12-15,8.74988425925925
"135",2021-12-16,8.53877314814814
"136",2021-12-17,8.46759259259261
"137",2021-12-18,8.47037037037036
"138",2021-12-19,8.32696759259258
"139",2021-12-20,8.18136574074072
"140",2021-12-21,7.97928240740742
"141",2021-12-22,7.77210648148147
"142",2021-12-23,7.85625
"143",2021-12-24,7.77650462962964
"144",2021-12-25,7.69386574074072
"145",2021-12-26,7.55636574074075
"146",2021-12-27,8.07442129629628
"147",2021-12-28,7.90127314814814
"148",2021-12-29,7.90648148148147
"149",2021-12-30,7.82766203703703
"150",2021-12-31,7.83796296296297
"151",2022-01-01,7.81805555555555
"152",2022-01-02,7.796875
"153",2022-01-03,7.43726851851853
"154",2022-01-04,7.08067129629628
"155",2022-01-05,6.91770833333333
"156",2022-01-06,6.87719907407408
